iata; name; city; state; country; latitude; longitude; x; y; priority
10D; Winsted Municipal; Winsted; MN; USA; 44.949963; -94.06692; 0.5841588; 0.7260071; 2
10G; Holmes County; Millersburg; OH; USA; 40.537167; -81.95436; 0.77490264; 0.59737074; 2
10N; Wallkill; Wallkill; NY; USA; 41.627872; -74.13376; 0.88993746; 0.6736437; 2
10U; Owyhee; Owyhee; NV; USA; 41.95323; -116.1876; 0.24828391; 0.675296; 2
11A; Clayton Municipal; Clayton; AL; USA; 31.883299; -85.48492; 0.74011004; 0.28145188; 2
11D; Clarion Cty; Clarion; PA; USA; 41.22581; -79.44099; 0.8112464; 0.63196945; 2
11IS; Schaumburg Heliport; Chicago/Schaumburg; IL; USA; 42.048084; -88.052574; 0.67742425; 0.6319649; 2
11J; Early County; Blakely; GA; USA; 31.396986; -84.895256; 0.7515849; 0.2664395; 2
11R; Brenham Municipal; Brenham; TX; USA; 30.219; -96.374275; 0.5490559; 0.20577085; 2
12C; Rochelle Municipal; Rochelle; IL; USA; 41.893; -89.07829; 0.6619889; 0.624436; 2
12D; Tower Municipal; Tower; MN; USA; 47.818333; -92.291664; 0.60790294; 0.8274585; 2
12J; Brewton Municipal; Brewton; AL; USA; 31.051264; -87.06797; 0.71407527; 0.24752706; 2
12K; Superior Municipal; Superior; NE; USA; 40.04636; -98.06011; 0.5232885; 0.55326784; 2
12Y; Le Sueur Municipal; Le Sueur; MN; USA; 44.437466; -93.91274; 0.5866572; 0.7080984; 2
13C; Lakeview; Lakeview; MI; USA; 43.452137; -85.2648; 0.7166319; 0.688205; 2
13K; Eureka Municipal; Eureka; KS; USA; 37.85158; -96.291695; 0.55102694; 0.47504908; 2
13N; Trinca; Andover; NJ; USA; 40.966763; -74.78017; 0.8832927; 0.6470989; 2
14J; Carl Folsom; Elba; AL; USA; 31.40989; -86.08884; 0.73059064; 0.26296717; 2
14M; Hollandale Municipal; Hollandale; MS; USA; 33.18262; -90.83066; 0.6450566; 0.31411934; 2
14Y; Todd Field; Long Prairie; MN; USA; 45.898575; -94.87391; 0.5720735; 0.75892645; 2
15F; Haskell Municipal; Haskell; TX; USA; 33.191555; -99.71793; 0.49154037; 0.31245798; 2
15J; Cook County; Adel; GA; USA; 31.137806; -83.45309; 0.7775879; 0.262738; 2
15M; Luka; Luka; MS; USA; 34.772312; -88.16587; 0.6882576; 0.37535226; 2
15Z; McCarthy 2; McCarthy; AK; USA; 61.43706; -142.90373; 0.22639227; 0.14296061; 2
16A; Nunapitchuk; Nunapitchuk; AK; USA; 60.905827; -162.43912; 0.15845928; 0.13419986; 2
16G; Seneca County; Tiffin; OH; USA; 41.094055; -83.2125; 0.75383234; 0.61219794; 2
16J; Dawson Municipal; Dawson; GA; USA; 31.743284; -84.41929; 0.7590589; 0.28022057; 2
16S; Myrtle Creek Municipal; Myrtle Creek; OR; USA; 42.99845; -123.30951; 0.14860308; 0.7561921; 2
17G; Port Bucyrus-Crawford County; Bucyrus; OH; USA; 40.781418; -82.97469; 0.758388; 0.6020988; 2
17J; Donalsonville Municipal; Donalsonville; GA; USA; 31.006945; -84.87761; 0.7528444; 0.25288165; 2
17K; Boise City; Boise City; OK; USA; 36.7743; -102.51044; 0.44849873; 0.4431194; 2
17M; Magee Municipal; Magee; MS; USA; 31.86127; -89.80286; 0.66458595; 0.2694512; 2
17N; Cross Keys; Cross Keys; NJ; USA; 39.705475; -75.033005; 0.88524127; 0.6021342; 2
17Z; Manokotak; Manokotak; AK; USA; 58.988964; -159.04997; 0.16927601; 0.108632505; 2
18A; Franklin County; Canon; GA; USA; 34.340103; -83.133484; 0.77416897; 0.37583435; 2
18I; McCreary County; Pine Knot; KY; USA; 36.69591; -84.3916; 0.7469068; 0.4538527; 2
19A; Jackson County; Jefferson; GA; USA; 34.174026; -83.56067; 0.767414; 0.3683924; 2
19M; C A Moore; Lexington; MS; USA; 33.12546; -90.02556; 0.6590209; 0.3134817; 2
19N; Camden; Berlin; NJ; USA; 39.77842; -74.94781; 0.886222; 0.6051497; 2
19P; Port Protection SPB; Port Protection; AK; USA; 56.328804; -133.61008; 0.26893896; 0.09579569; 2
1A3; Martin Campbell; Copperhill; TN; USA; 35.01619; -84.34631; 0.75195783; 0.39506102; 2
1A5; Macon County; Franklin; NC; USA; 35.222595; -83.419044; 0.76690936; 0.40564603; 2
1A6; Middlesboro-Bell County; Middlesboro; KY; USA; 36.610638; -83.73742; 0.75785035; 0.45314133; 2
1A7; Jackson County; Gainesboro; TN; USA; 36.39728; -85.64164; 0.7270922; 0.4393416; 2
1A9; Autauga County; Prattville; AL; USA; 32.438774; -86.510445; 0.7210375; 0.29772526; 2
1B0; Dexter Regional; Dexter; ME; USA; 45.008396; -69.23977; 0.94331366; 0.8201563; 2
1B1; Columbia Cty; Hudson; NY; USA; 42.2913; -73.71032; 0.8930635; 0.69894826; 2
1B3; Fair Haven; Fair Haven; VT; USA; 43.615345; -73.27456; 0.8929786; 0.7469055; 2
1B9; Mansfield Municipal; Mansfield; MA; USA; 42.000134; -71.19677; 0.9318496; 0.7048916; 2
1C5; Clow; Chicago/Plainfield; IL; USA; 41.695976; -88.129234; 0.67686325; 0.6194158; 2
1D1; Milbank Municipal; Milbank; SD; USA; 45.230537; -96.56596; 0.5474893; 0.73540324; 2
1D2; Canton -Plymouth -  Mettetal; Plymouth; MI; USA; 42.350037; -83.45827; 0.74658763; 0.6552925; 2
1D3; Platte Municipal; Platte; SD; USA; 43.403328; -98.82953; 0.5132532; 0.67222226; 2
1D6; Hector Municipal; Hector; MN; USA; 44.73107; -94.714714; 0.5747069; 0.7180537; 2
1D7; Webster Municipal; Webster; SD; USA; 45.293293; -97.5137; 0.5336488; 0.7378588; 2
1D8; Redfield Municipal; Redfield; SD; USA; 44.862476; -98.52954; 0.51856923; 0.72328484; 2
1F0; Downtown Ardmore; Ardmore; OK; USA; 34.146988; -97.12265; 0.5366054; 0.34424675; 2
1F1; Lake Murray State Park; Overbrook; OK; USA; 34.075096; -97.10668; 0.53686047; 0.3417033; 2
1F4; Madill Municipal; Madill; OK; USA; 34.140404; -96.812035; 0.5419059; 0.3439232; 2
1F9; Bridgeport Municipal; Bridgeport; TX; USA; 33.175335; -97.82839; 0.52416945; 0.31028026; 2
1G0; Wood County; Bowling Green; OH; USA; 41.391; -83.63014; 0.7465933; 0.6211539; 2
1G3; Kent State University; Kent; OH; USA; 41.151863; -81.41658; 0.78125906; 0.62096506; 2
1G4; Grand Canyon West; Peach Springs; AZ; USA; 35.99221; -113.81662; 0.26064324; 0.4560305; 2
1G5; Freedom; Medina; OH; USA; 41.131443; -81.764915; 0.7759777; 0.61887527; 2
1G6; Michael; Cicero; NY; USA; 43.181667; -76.12778; 0.8531853; 0.71595716; 2
1H0; Creve Coeur; St Louis; MO; USA; 38.72752; -90.5083; 0.64390415; 0.51032174; 2
1H2; Effingham County Memorial; Effingham; IL; USA; 39.07045; -88.533516; 0.6749762; 0.52605736; 2
1H3; Linn State Tech. College; Linn; MO; USA; 38.471493; -91.815315; 0.6231799; 0.49947226; 2
1H8; Casey Municipal; Casey; IL; USA; 39.30251; -88.00406; 0.683001; 0.53539604; 2
1I5; Freehold; Freehold; NY; USA; 42.36425; -74.06597; 0.8874293; 0.699342; 2
1I9; Delphi Municipal; Delphi; IN; USA; 40.542812; -86.68167; 0.7014341; 0.58227175; 2
1J0; Tri-County; Bonifay; FL; USA; 30.845778; -85.60139; 0.74043965; 0.24480408; 2
1K2; Lindsay Municipal; Lindsay; OK; USA; 34.850075; -97.58642; 0.5289361; 0.369267; 2
1K4; David J. Perry; Goldsby; OK; USA; 35.155067; -97.47039; 0.53099716; 0.3799901; 2
1K5; Waynoka Municipal; Waynoka; OK; USA; 36.5667; -98.85231; 0.5086111; 0.43077296; 2
1K9; Satanta Municipal; Satanta; KS; USA; 37.45419; -100.99211; 0.47423786; 0.46458703; 2
1L0; St. John the Baptist Parish; Reserve; LA; USA; 30.087208; -90.582664; 0.65301555; 0.20579791; 2
1L1; Lincoln Co; Panaca; NV; USA; 37.787464; -114.42165; 0.25800076; 0.5215678; 2
1L7; Escalante Municipal; Escalante; UT; USA; 37.745327; -111.57017; 0.30349642; 0.50618994; 2
1L9; Parowan; Parowan; UT; USA; 37.859695; -112.816055; 0.2839359; 0.515969; 2
1M1; North Little Rock Municipal; No Lit Rock; AR; USA; 34.83398; -92.25793; 0.61905754; 0.37042153; 2
1M2; Belzoni Municipal; Belzoni; MS; USA; 33.14518; -90.51528; 0.6505432; 0.31331575; 2
1M4; Posey; Haleyville; AL; USA; 34.28035; -87.60044; 0.6987058; 0.35941958; 2
1M5; Portland Municipal; Portland; TN; USA; 36.592876; -86.47691; 0.7129148; 0.44378895; 2
1M7; Fulton; Fulton; KY; USA; 36.525894; -88.91562; 0.67286414; 0.43549705; 2
1MO; Mountain Grove Memorial; Mountain Grove; MO; USA; 37.12072; -92.31125; 0.61629516; 0.45115888; 2
1N2; Spadaro; East Moriches; NY; USA; 40.827877; -72.74871; 0.914753; 0.6546936; 2
1N4; Woodbine Muni; Woodbine; NJ; USA; 39.21915; -74.79476; 0.89118063; 0.58675987; 2
1N7; Blairstown; Blairstown; NJ; USA; 40.971146; -74.997475; 0.8799735; 0.6459938; 2
1N9; Allentown Queen City Muni; Allentown; PA; USA; 40.57028; -75.488304; 0.87431556; 0.6293672; 2
1ND3; Hamry; Kindred; ND; USA; 46.64858; -97.005646; 0.5413699; 0.7851105; 2
1O1; Grandfield Municipal; Grandfield; OK; USA; 34.23759; -98.74201; 0.50902545; 0.34839183; 2
1O2; Lampson; Lakeport; CA; USA; 38.990173; -122.89972; 0.13109449; 0.61731136; 2
1O3; Lodi; Lodi; CA; USA; 38.202415; -121.26842; 0.15187448; 0.57849604; 2
1O4; Thomas Municipal; Thomas; OK; USA; 35.733383; -98.73064; 0.5101199; 0.40121555; 2
1O6; Dunsmuir Municipal-Mott; Dunsmuir; CA; USA; 41.26321; -122.27195; 0.15375745; 0.6899433; 2
1R1; Jena; Jena; LA; USA; 31.671005; -92.15847; 0.6234126; 0.2590775; 2
1R7; Brookhaven-Lincoln County; Brookhaven; MS; USA; 31.605848; -90.40932; 0.6542632; 0.2593649; 2
1R8; Bay Minette Municipal; Bay Minette; AL; USA; 30.870462; -87.81738; 0.7011514; 0.23918062; 2
1S0; Pierce County; Puyallup; WA; USA; 47.103916; -122.28719; 0.18676774; 0.8874454; 2
1S3; Tillitt; Forsyth; MT; USA; 46.271107; -106.623924; 0.40310895; 0.7861923; 2
1S5; Sunnyside Municipal; Sunnyside; WA; USA; 46.327633; -119.9706; 0.21454802; 0.8466942; 2
1S6; Priest River Muni; Priest River; ID; USA; 48.190186; -116.90936; 0.26576686; 0.8926584; 2
1U7; Bear Lake County; Paris; ID; USA; 42.24715; -111.33826; 0.32238862; 0.66222334; 2
1V0; Navajo State Park; Navajo Dam; NM; USA; 36.80834; -107.65144; 0.3642113; 0.457946; 2
1V2; Grant County; Hyannis; NE; USA; 42.00943; -101.76934; 0.46735427; 0.6265465; 2
1V5; Boulder Muni; Boulder; CO; USA; 40.03943; -105.22582; 0.41051927; 0.56432277; 2
1V6; Fremont County; Canon City; CO; USA; 38.428383; -105.1055; 0.40917423; 0.50729144; 2
1V9; Blake; Delta; CO; USA; 38.785397; -108.06366; 0.36272252; 0.5287565; 2
20A; Robbins; Oneonta; AL; USA; 33.97232; -86.379425; 0.7200697; 0.35191953; 2
20M; Macon Municipal; Macon; MS; USA; 33.133457; -88.5356; 0.6847104; 0.3168313; 2
20N; Kingston-Ulster; Kingston; NY; USA; 41.985252; -73.964096; 0.8907645; 0.6869298; 2
20U; Beach; Beach; ND; USA; 46.923626; -103.97854; 0.44215044; 0.8026254; 2
20V; McElroy Airfield; Kremmling; CO; USA; 40.05368; -106.36895; 0.39262235; 0.56795037; 2
21D; Lake Elmo; St Paul; MN; USA; 44.99749; -92.85568; 0.60191035; 0.72847474; 2
21F; Jacksboro Municipal; Jacksboro; TX; USA; 33.228725; -98.14671; 0.51869434; 0.31235677; 2
22B; Mountain Meadow Airstrip; Burlington; CT; USA; 41.772877; -73.011215; 0.90603787; 0.6854346; 2
22I; Vinton County; McArthur; OH; USA; 39.328125; -82.44182; 0.7709554; 0.5531926; 2
22M; Pontotoc County; Pontotoc; MS; USA; 34.27594; -89.0384; 0.67429066; 0.35593003; 2
22N; Carbon Cty-Jake Arner Memorial; Lehighton; PA; USA; 40.80951; -75.7615; 0.8690778; 0.636097; 2
23J; Herlong; Jacksonville; FL; USA; 30.277788; -81.80595; 0.8091702; 0.23976928; 2
23M; Clarke County; Quitman; MS; USA; 32.08487; -88.73894; 0.6828778; 0.2795294; 2
23N; Bayport Aerodrome; Bayport; NY; USA; 40.75843; -73.05372; 0.9104844; 0.6503813; 2
23R; Devine Municipal; Devine; TX; USA; 29.138407; -98.94189; 0.50232613; 0.16926748; 2
24A; Jackson County; Sylva; NC; USA; 35.316864; -83.209366; 0.7701421; 0.4097395; 2
24J; Suwannee County; Live Oak; FL; USA; 30.301056; -83.023186; 0.78751475; 0.2353403; 2
24N; Jicarilla Apache Nation; Dulce; NM; USA; 36.828533; -106.88419; 0.37681663; 0.45613444; 2
25J; Cuthbert-Randolph; Cuthbert; GA; USA; 31.700167; -84.82492; 0.7520772; 0.27727658; 2
25M; Ripley; Ripley; MS; USA; 34.722267; -89.01505; 0.6740008; 0.37170142; 2
25R; International; Edinburg; TX; USA; 26.44201; -98.129456; 0.51583135; 0.074546814; 2
26A; Ashland/Lineville; Ashland/Lineville; AL; USA; 33.287613; -85.80413; 0.7313927; 0.32962358; 2
26N; Ocean City Muni cipal; Ocean City; NJ; USA; 39.263474; -74.607475; 0.8938856; 0.5894072; 2
26R; Jackson County; Edna/Ganado; TX; USA; 29.00101; -96.58195; 0.54517686; 0.16311836; 2
26U; McDermitt State; McDermitt; OR; USA; 42.00211; -117.7232; 0.22552052; 0.6856642; 2
27A; Elbert County-Patz; Elberton; GA; USA; 34.095196; -82.815865; 0.78023547; 0.368515; 2
27D; Myers; Canby; MN; USA; 44.72802; -96.2631; 0.55189025; 0.7177397; 2
27J; Newberry Municipal; Newberry; SC; USA; 34.309277; -81.639725; 0.79943883; 0.38087827; 2
27K; Georgetown-Scott County; Georgetown; KY; USA; 38.234425; -84.434685; 0.7422816; 0.50773615; 2
28J; Kay Larkin; Palatka; FL; USA; 29.658638; -81.68855; 0.8131825; 0.21882957; 2
29D; Grove City; Grove City; PA; USA; 41.145977; -80.165924; 0.8004454; 0.6259748; 2
29G; Portage County; Ravenna; OH; USA; 41.210194; -81.25163; 0.7836003; 0.6236642; 2
29S; Gardiner; Gardiner; MT; USA; 45.049934; -110.7466; 0.3403575; 0.7572557; 2
2A0; Mark Anton; Dayton; TN; USA; 35.486248; -84.9311; 0.7410135; 0.40957803; 2
2A1; Jamestown Municipal; Jamestown; TN; USA; 36.34971; -84.94665; 0.73865294; 0.43985283; 2
2A3; Larsen Bay; Larsen Bay; AK; USA; 57.535107; -153.97842; 0.18820152; 0.08953935; 2
2A9; Kotlik; Kotlik; AK; USA; 63.031162; -163.52992; 0.1568689; 0.16095543; 2
2AK; Lime Village; Lime Village; AK; USA; 61.358486; -155.44035; 0.18311396; 0.1366821; 2
2B3; Parlin; Newport; NH; USA; 43.38813; -72.189255; 0.9099287; 0.74580026; 2
2B7; Pittsfield Municipal; Pittsfield; ME; USA; 44.768528; -69.37442; 0.94279563; 0.8111434; 2
2B9; Post Mills; Post Mills; VT; USA; 43.884235; -72.2537; 0.9064294; 0.7623125; 2
2D1; Barber; Alliance; OH; USA; 40.97089; -81.099815; 0.78670925; 0.6159309; 2
2D5; Oakes Municipal; Oakes; ND; USA; 46.17302; -98.07987; 0.5257766; 0.7689178; 2
2F5; Lamesa Municipal; Lamesa; TX; USA; 32.75628; -101.91947; 0.45298222; 0.3003909; 2
2F6; Skiatook Municipal; Skiatook; OK; USA; 36.357037; -96.01138; 0.55557865; 0.4221642; 2
2F7; Commerce Municipal; Commerce; TX; USA; 33.29289; -95.896416; 0.55755496; 0.31391567; 2
2F8; Morehouse Memorial; Bastrop; LA; USA; 32.75608; -91.88057; 0.6273209; 0.29760075; 2
2G2; Jefferson County Airpark; Steubenville; OH; USA; 40.359444; -80.70008; 0.79490656; 0.59626114; 2
2G3; Connellsville; Connellsville; PA; USA; 39.958935; -79.657135; 0.81248933; 0.58688354; 2
2G4; Garrett County; Oakland; MD; USA; 39.580276; -79.33942; 0.81881464; 0.57515883; 2
2G9; Somerset County; Somerset; PA; USA; 40.039112; -79.01456; 0.82217866; 0.5926561; 2
2H0; Shelby County; Shelbyville; IL; USA; 39.410427; -88.845436; 0.6694694; 0.53740335; 2
2H2; Aurora Memorial Municipal; Aurora; MO; USA; 36.962307; -93.69531; 0.5936708; 0.44434917; 2
2I0; Madisonville Municipal; Madisonville; KY; USA; 37.355026; -87.399635; 0.69628674; 0.4681933; 2
2I5; Chanute; Rantoul; IL; USA; 40.293556; -88.142365; 0.6790887; 0.57001233; 2
2IS; Airglades; Clewiston; FL; USA; 26.74201; -81.04979; 0.8340451; 0.12119824; 2
2J2; Liberty County; Hinesville; GA; USA; 31.78461; -81.64117; 0.80736166; 0.2928697; 2
2J3; Louisville Municipal; Louisville; GA; USA; 32.98654; -82.38568; 0.79082274; 0.33153933; 2
2J5; Millen; Millen; GA; USA; 32.89377; -81.96512; 0.7983174; 0.33008456; 2
2J9; Quincy Municipal; Quincy; FL; USA; 30.59786; -84.55742; 0.7595147; 0.2397492; 2
2K3; Stanton County Municipal; Johnson; KS; USA; 37.58271; -101.73281; 0.46231732; 0.47027636; 2
2K4; Scott; Mangum; OK; USA; 34.891727; -99.52676; 0.49616218; 0.37222564; 2
2K5; Telida; Telida; AK; USA; 63.39387; -153.26897; 0.19049357; 0.16165036; 2
2M0; Princeton-Caldwell County; Princeton; KY; USA; 37.115604; -87.85557; 0.68928623; 0.45864743; 2
2M2; Lawrenceburg Municipal; Lawrenceburg; TN; USA; 35.234303; -87.257935; 0.702682; 0.3938656; 2
